figure,evidence_tier,dataset,model,metric,value,source,note
04_streaming_efficiency,deployment,"AMD Ryzen 7 7800X3D, one CPU thread",V8 Mamba,Streaming real-time factor,0.9166821996999999,results/runtime/v8_native_streaming_7800x3d.json,All models use 20 ms algorithmic latency; V12 entries are structural benchmarks.
04_streaming_efficiency,deployment,"AMD Ryzen 7 7800X3D, one CPU thread",V12 Mamba,Streaming real-time factor,0.9076274843333334,results/runtime/v12_structural_latency_7800x3d.json,All models use 20 ms algorithmic latency; V12 entries are structural benchmarks.
04_streaming_efficiency,deployment,"AMD Ryzen 7 7800X3D, one CPU thread",V12 GRU,Streaming real-time factor,0.6595717766666668,results/runtime/v12_structural_latency_7800x3d.json,All models use 20 ms algorithmic latency; V12 entries are structural benchmarks.
04_streaming_efficiency,deployment,"AMD Ryzen 7 7800X3D, one CPU thread",V13 GRU-T1,Streaming real-time factor,0.3684537620666667,results/runtime/v13_final_gru_seed1200_cpu.json,All models use 20 ms algorithmic latency; V12 entries are structural benchmarks.
04_streaming_efficiency,deployment,"AMD Ryzen 7 7800X3D, one CPU thread",V14.2 final,Streaming real-time factor,0.372386781,results/runtime/v14_2_distilled_seed1200_cpu.json,All models use 20 ms algorithmic latency; V12 entries are structural benchmarks.
04_streaming_efficiency,deployment,"AMD Ryzen 7 7800X3D, one CPU thread",V8 Mamba,Persistent state,5.679191589355469,results/runtime/v8_native_streaming_7800x3d.json,All models use 20 ms algorithmic latency; V12 entries are structural benchmarks.
04_streaming_efficiency,deployment,"AMD Ryzen 7 7800X3D, one CPU thread",V12 Mamba,Persistent state,5.679191589355469,results/runtime/v12_structural_latency_7800x3d.json,All models use 20 ms algorithmic latency; V12 entries are structural benchmarks.
04_streaming_efficiency,deployment,"AMD Ryzen 7 7800X3D, one CPU thread",V12 GRU,Persistent state,1.2612228393554688,results/runtime/v12_structural_latency_7800x3d.json,All models use 20 ms algorithmic latency; V12 entries are structural benchmarks.
04_streaming_efficiency,deployment,"AMD Ryzen 7 7800X3D, one CPU thread",V13 GRU-T1,Persistent state,0.118988037109375,results/runtime/v13_final_gru_seed1200_cpu.json,All models use 20 ms algorithmic latency; V12 entries are structural benchmarks.
04_streaming_efficiency,deployment,"AMD Ryzen 7 7800X3D, one CPU thread",V14.2 final,Persistent state,0.118988037109375,results/runtime/v14_2_distilled_seed1200_cpu.json,All models use 20 ms algorithmic latency; V12 entries are structural benchmarks.
05_preservation_models_dev400,development,VoiceBank locked development subset (400 files),V14.2,enhanced_pesq,2.157649056017399,results/v14/distillation/winner_dev400/summary.json,Figure shows delta from V14.2 value 2.15764906; single seed.
05_preservation_models_dev400,development,VoiceBank locked development subset (400 files),V15 quiet,enhanced_pesq,2.1494588991999626,results/v15/preservation/quiet_level_seed1200/voicebank_dev400/summary.json,Figure shows delta from V14.2 value 2.15764906; single seed.
05_preservation_models_dev400,development,VoiceBank locked development subset (400 files),V15 identity,enhanced_pesq,2.125707937180996,results/v15/preservation/quiet_level_identity_seed1200/voicebank_dev400/summary.json,Figure shows delta from V14.2 value 2.15764906; single seed.
05_preservation_models_dev400,development,VoiceBank locked development subset (400 files),V15 causal,enhanced_pesq,2.1545533502101897,results/v15/preservation/causal_preservation_gate_seed1200/voicebank_dev400/summary.json,Figure shows delta from V14.2 value 2.15764906; single seed.
05_preservation_models_dev400,development,VoiceBank locked development subset (400 files),V16 oracle,enhanced_pesq,2.1519728246331216,results/v16/oracle_gate_seed16040/voicebank_dev400/summary.json,Figure shows delta from V14.2 value 2.15764906; single seed.
05_preservation_models_dev400,development,VoiceBank locked development subset (400 files),V14.2,enhanced_si_sdr,14.433390217721461,results/v14/distillation/winner_dev400/summary.json,Figure shows delta from V14.2 value 14.43339022; single seed.
05_preservation_models_dev400,development,VoiceBank locked development subset (400 files),V15 quiet,enhanced_si_sdr,14.482353968918323,results/v15/preservation/quiet_level_seed1200/voicebank_dev400/summary.json,Figure shows delta from V14.2 value 14.43339022; single seed.
05_preservation_models_dev400,development,VoiceBank locked development subset (400 files),V15 identity,enhanced_si_sdr,14.355247344374657,results/v15/preservation/quiet_level_identity_seed1200/voicebank_dev400/summary.json,Figure shows delta from V14.2 value 14.43339022; single seed.
05_preservation_models_dev400,development,VoiceBank locked development subset (400 files),V15 causal,enhanced_si_sdr,14.479999705553055,results/v15/preservation/causal_preservation_gate_seed1200/voicebank_dev400/summary.json,Figure shows delta from V14.2 value 14.43339022; single seed.
05_preservation_models_dev400,development,VoiceBank locked development subset (400 files),V16 oracle,enhanced_si_sdr,14.32498961687088,results/v16/oracle_gate_seed16040/voicebank_dev400/summary.json,Figure shows delta from V14.2 value 14.43339022; single seed.
05_preservation_models_dev400,development,VoiceBank locked development subset (400 files),V14.2,enhanced_stoi,0.887729757951081,results/v14/distillation/winner_dev400/summary.json,Figure shows delta from V14.2 value 0.88772976; single seed.
05_preservation_models_dev400,development,VoiceBank locked development subset (400 files),V15 quiet,enhanced_stoi,0.8880308934136653,results/v15/preservation/quiet_level_seed1200/voicebank_dev400/summary.json,Figure shows delta from V14.2 value 0.88772976; single seed.
05_preservation_models_dev400,development,VoiceBank locked development subset (400 files),V15 identity,enhanced_stoi,0.8882199742292307,results/v15/preservation/quiet_level_identity_seed1200/voicebank_dev400/summary.json,Figure shows delta from V14.2 value 0.88772976; single seed.
